"company","url","date","author","author_url","cover","name","play_fre"
"SONY","http://music.taihe.com/album/100000","2000-09-26","Five For Fighting","http://music.taihe.com/artist/808856","http://qukufile2.qianqian.com/data2/music/CC0EFEF75A0E0E6F41C78CF76DE8C2BC/252200320/252200320.jpg","America Town","0"
"百全文化","http://music.taihe.com/album/100212322","2013-10-22","雅萱","http://music.taihe.com/artist/14002442","http://qukufile2.qianqian.com/data2/pic/100210957/100210957.jpg","我们说好的","5"
"SONY","http://music.taihe.com/album/100264222","2007-12-13","Baby Bash","http://music.taihe.com/artist/235338","http://qukufile2.qianqian.com/data2/pic/100264224/100264224.jpg","Cyclone","0"
"盖亚魔力","http://music.taihe.com/album/100293637","2011-01-01","玩具兵团乐队","http://music.taihe.com/artist/87901210","http://qukufile2.qianqian.com/data2/pic/100292033/100292033.jpg","玩具兵团","0"
"SONY","http://music.taihe.com/album/100329527","2013-01-21","The Piano Guys","http://music.taihe.com/artist/24467441","http://qukufile2.qianqian.com/data2/music/4C9DFDDE6074F03CE18D9F170A0106D5/254584805/254584805.jpg","The Piano Guys","20"
"环球唱片","http://music.taihe.com/album/10033666","2008-04-24","Peter Cincotti","http://music.taihe.com/artist/10361","http://qukufile2.qianqian.com/data2/music/7F750BE02D45CFC511B6D26147B52CF8/252559913/252559913.jpg","Peter Cincotti","1"
"环球唱片","http://music.taihe.com/album/10037787","2008-04-17","Hank Williams","http://music.taihe.com/artist/708535","http://qukufile2.qianqian.com/data2/music/3EFA9308B80B132A7CB67301C806F3F5/252598472/252598472.jpg","Lost Highway And Other Live Favourites","0"
"环球唱片","http://music.taihe.com/album/10037815","2008-04-16","Jerry Lee Lewis","http://music.taihe.com/artist/708146","http://qukufile2.qianqian.com/data2/music/430C9AF50E332E0AE0196EFF64763431/252579529/252579529.jpg","Jerry Lee Lewis - The Many Sides Of","1"
"环球唱片","http://music.taihe.com/album/10037834","2006-02-02","The House of Love","http://music.taihe.com/artist/441913","http://qukufile2.qianqian.com/data2/music/C3DD26BA1C7314733D1B32432D18E334/252697452/252697452.jpg","The Fontana Years","0"
"SONY","http://music.taihe.com/album/100424965","1997-02-03","Leonard Bernstein","http://music.taihe.com/artist/10841","http://qukufile2.qianqian.com/data2/pic/2865f46fc0c75faf5f44d64e277cece7/100424965/100424965.jpg","Nocturne","1"
"环球唱片","http://music.taihe.com/album/1004627","1998-10-26","Marilyn Manson","http://music.taihe.com/artist/707852","http://qukufile2.qianqian.com/data2/pic/b1f2cfeb32a391d6952c2a8c39d6a5f7/1004627/1004627.jpg","Get Your Gunn","4"
"霍尔果斯风华秋实文化传媒有限公司","http://music.taihe.com/album/100900024","2013-12-02","汪峰","http://music.taihe.com/artist/1157","http://qukufile2.qianqian.com/data2/pic/8c841d1cd2dabf3dc643225890022d10/556192113/556192113.jpg","生来彷徨","124"
"环球唱片","http://music.taihe.com/album/1010606","2009-07-14","Feist","http://music.taihe.com/artist/174820","http://qukufile2.qianqian.com/data2/music/4811088A27E47C3256D711A743BC967E/252640641/252640641.jpg","Let It Die","15"
"恒大音乐","http://music.taihe.com/album/101417399","2013-12-03","金志文","http://music.taihe.com/artist/5913","http://qukufile2.qianqian.com/data2/pic/105981161/105981161.jpg","梦想•家","62"
"福茂唱片","http://music.taihe.com/album/101596419","2013-11-21","群星","http://music.taihe.com/artist/2374","http://qukufile2.qianqian.com/data2/pic/bcbfbd3b15a1f0b73c5de908f5f82c19/101596419/101596419.jpg","爱的生存之道  电视原声带","1"
"Jive","http://music.taihe.com/album/1018391","2003-03-21","*NSYNC","http://music.taihe.com/artist/381038","http://qukufile2.qianqian.com/data2/pic/88669980/88669980.jpg","No Strings Attached","0"
"SONY","http://music.taihe.com/album/1020562","2007-01-02","Carly Simon","http://music.taihe.com/artist/9062","http://qukufile2.qianqian.com/data2/pic/88670507/88670507.jpg","Into White","2"
"环球唱片","http://music.taihe.com/album/10212729","2003-07-10","Various Artists","http://music.taihe.com/artist/4016","http://qukufile2.qianqian.com/data2/music/D83D2AF6196364F9F1CBAD5C9E6BE53E/252594810/252594810.jpg","People I Know","1"
"环球唱片","http://music.taihe.com/album/1021339","1999-06-22","Eric Clapton","http://music.taihe.com/artist/9330","http://qukufile2.qianqian.com/data2/pic/d160da85350e8de1cd0888e3d57d7849/1021339/1021339.jpg","Backless","2"
"disney","http://music.taihe.com/album/10213740","2011-05-17","Hans Zimmer","http://music.taihe.com/artist/2949","http://qukufile2.qianqian.com/data2/pic/8b3d624e2360d81a077a5dedb1364c8f/10213740/10213740.jpg","Pirates Of The Caribbean: On Stranger Tides (Original Motion Picture Soundtrack)","268"
"环球唱片","http://music.taihe.com/album/10214322","2009-03-31","Hermes House Band","http://music.taihe.com/artist/807669","http://qukufile2.qianqian.com/data2/pic/c1db88f2602844992f0748f7cd19e6d1/600246642/600246642.jpg","Footballs`S Coming Home (Three Lions)","1"
"SONY","http://music.taihe.com/album/10215112","2008-12-08","Leona Lewis","http://music.taihe.com/artist/11708","http://qukufile2.qianqian.com/data2/music/F8E0395D3F82BB5804EB6D700E4C2161/252811825/252811825.jpg","Run","2"
"环球唱片","http://music.taihe.com/album/10235892","1991-07-15","Various Artists","http://music.taihe.com/artist/4016","http://qukufile2.qianqian.com/data2/music/71335850564AF692882D7772542AC58A/252920979/252920979.jpg","The Godfather","115"
"环球唱片","http://music.taihe.com/album/10235917","2006-02-02","B.B. King","http://music.taihe.com/artist/222989","http://qukufile2.qianqian.com/data2/music/B6606B21BB76D95C678CFFF4DDCFC251/252573957/252573957.jpg","Greatest Hits","0"
"不详","http://music.taihe.com/album/10240515","1983-08-01","陈百强","http://music.taihe.com/artist/2707","http://qukufile2.qianqian.com/data2/pic/ebc1356ca7036042bca44ce418b0037b/580367501/580367501.jpg","偏偏喜欢你","77"
"环球唱片","http://music.taihe.com/album/10244984","2008-04-23","Carina Round","http://music.taihe.com/artist/458604","http://qukufile2.qianqian.com/data2/music/7B49406E95DC852D9E77A78AC2E925F1/252580541/252580541.jpg","Slow Motion Addict","1"
"环球唱片","http://music.taihe.com/album/10267745","2006-07-31","Matt Costa","http://music.taihe.com/artist/844733","http://qukufile2.qianqian.com/data2/music/9E17890BD98109C69D1A682F70582F61/252580765/252580765.jpg","Sunshine","1"
"环球唱片","http://music.taihe.com/album/10267747","2006-10-02","Docemania","http://music.taihe.com/artist/232649224","http://qukufile2.qianqian.com/data2/music/2BEA3E3DB1BEBCCC4676CCE734A72028/252862910/252862910.jpg","Docemania","0"
"不详","http://music.taihe.com/album/10270290","2011-08-23","龚琳娜","http://music.taihe.com/artist/55532","http://qukufile2.qianqian.com/data2/pic/88949133/88949133.jpg","自由鸟","1"
"环球唱片","http://music.taihe.com/album/10270417","2011-11-15","吴雨霏","http://music.taihe.com/artist/1308","http://qukufile2.qianqian.com/data2/pic/88949161/88949161.jpg","我本人","32"
"环球唱片","http://music.taihe.com/album/10272005","2009-07-14","Max Greger & Orchester","http://music.taihe.com/artist/403241","http://qukufile2.qianqian.com/data2/music/F09D72BDDD423EBC3BCD197E48910D9C/252602350/252602350.jpg","Tanzen '97","0"
"环球唱片","http://music.taihe.com/album/10279563","2009-05-25","Dirty Three","http://music.taihe.com/artist/544828","http://qukufile2.qianqian.com/data2/pic/88951930/88951930.jpg","Cinder","1"
"环球唱片","http://music.taihe.com/album/10283312","2000-10-05","Secret Garden","http://music.taihe.com/artist/177878","http://qukufile2.qianqian.com/data2/pic/88953074/88953074.jpg","Dawn Of A New Century","49"
"环球唱片","http://music.taihe.com/album/10302669","2004-05-08","Maroon 5","http://music.taihe.com/artist/55191","http://qukufile2.qianqian.com/data2/pic/00ed46229d516a85d5d7ecc1d19cbd53/10302669/10302669.jpg","1.22.03 Acoustic","40"
"环球唱片","http://music.taihe.com/album/10305417","2009-03-31","James Morrison","http://music.taihe.com/artist/427303","http://qukufile2.qianqian.com/data2/music/C723197BECDC78FBAF8C3FB86E2A5DAC/252538091/252538091.jpg","Napsterlive - July 10, 2006","1"
"环球唱片","http://music.taihe.com/album/10306404","2006-02-02","Diana Ross","http://music.taihe.com/artist/4761","http://qukufile2.qianqian.com/data2/music/31F7ADBF532CA040BB04BC922E67DB96/252867525/252867525.jpg","Lady Sings The Blues","2"
"环球唱片","http://music.taihe.com/album/10316388","2009-02-09","Sky Larkin","http://music.taihe.com/artist/886709","http://qukufile2.qianqian.com/data2/music/A0D0486201833D29CBE23A4ABD355DE1/252604466/252604466.jpg","The Golden Spike","0"
"福茂唱片","http://music.taihe.com/album/10324859","2011-11-11","陈势安","http://music.taihe.com/artist/84343","http://qukufile2.qianqian.com/data2/pic/aa28048c9c95410b66db593b32a999f5/10324859/10324859.jpg","再爱一遍‧天后","11"
"华世唱片","http://music.taihe.com/album/10324978","2011-09-13","郭玲","http://music.taihe.com/artist/525018","http://qukufile2.qianqian.com/data2/music/A345E3F62A374075CCD20055CD00E174/252605794/252605794.jpg","迷茫的爱","170"
"环球唱片","http://music.taihe.com/album/10352181","2012-06-12","伍佰 & China Blue","http://music.taihe.com/artist/2863","http://qukufile2.qianqian.com/data2/pic/124385751/124385751.jpg","单程车票","6"
"长城艺术文化","http://music.taihe.com/album/1036734","2003-01-01","刘斌","http://music.taihe.com/artist/15862715","http://qukufile2.qianqian.com/data2/pic/e019aecc22ad4a785f81cf50b8321937/584772443/584772443.png","咱当兵的人","85"
"海蝶音乐","http://music.taihe.com/album/10368944","2011-09-30","By2","http://music.taihe.com/artist/1418","http://qukufile2.qianqian.com/data2/music/16C08DE9394E78BCD0C7CC661B23D566/252588681/252588681.jpg","90'闹NOW","68"
"滚石唱片","http://music.taihe.com/album/10385836","1995-07-20","沈凤仪","http://music.taihe.com/artist/1843659","http://qukufile2.qianqian.com/data2/pic/8559ceee1f91fdbb128cdfa420a94199/10385836/10385836.jpg","苦苦相逼","0"
"滚石唱片","http://music.taihe.com/album/10386401","1999-12-01","郭英男","http://music.taihe.com/artist/2013","http://qukufile2.qianqian.com/data2/pic/c5addc049ff1d0135c1833b106595316/610766679/610766679.jpg","Difang acrooss the yellow earth 横跨黄色地球","7"
"滚石唱片","http://music.taihe.com/album/10386414","1997-08-01","苏慧伦","http://music.taihe.com/artist/1195","http://qukufile2.qianqian.com/data2/pic/b07e71140c9ccaca7c8c76f14fc4a6da/10386414/10386414.jpg","傻瓜","9"
"滚石唱片","http://music.taihe.com/album/10386555","2004-10-22","影视原声","http://music.taihe.com/artist/87998408","http://qukufile2.qianqian.com/data2/pic/4247c865a93991d49fed26bfc302048c/611736282/611736282.jpg","终极西门电影配乐原声全纪录","0"
"不详","http://music.taihe.com/album/10386576","2000-02-02","群星","http://music.taihe.com/artist/2374","http://qukufile2.qianqian.com/data2/pic/cca514869df1c05b88da52ac98ed291d/10386576/10386576.jpg","一人一首成名曲 2","54"
"滚石唱片","http://music.taihe.com/album/10386669","1988-11-05","赵传","http://music.taihe.com/artist/1209","http://qukufile2.qianqian.com/data2/pic/5b4cd519b99178609a60385b0b9773d2/10386669/10386669.jpg","我很丑,可是我很温柔","29"
"滚石唱片","http://music.taihe.com/album/10386717","2011-02-17","商东茜","http://music.taihe.com/artist/555792","http://qukufile2.qianqian.com/data2/pic/9f65c4a69a422751d712fd267ce607b3/609076047/609076047.jpg","好起来","0"
"杰威尔JVR音乐有限公司","http://music.taihe.com/album/10390890","2011-09-29","袁咏琳","http://music.taihe.com/artist/10604","http://qukufile2.qianqian.com/data2/pic/88965019/88965019.jpg","2 Be Different","2"
"SONY","http://music.taihe.com/album/10404956","2011-09-30","王力宏","http://music.taihe.com/artist/1107","http://qukufile2.qianqian.com/data2/pic/d830aa17a4f2ceba0f87fdfe19cd1d0a/10404956/10404956.jpg","火力全开","37"
"海蝶音乐","http://music.taihe.com/album/10405797","2011-09-20","许嵩","http://music.taihe.com/artist/1557","http://qukufile2.qianqian.com/data2/pic/3d16d416b42f75834d1ccc02763b6213/579256755/579256755.jpg","天龙八部之宿敌","197"
"SONY","http://music.taihe.com/album/1041188","2007-02-27","Oasis","http://music.taihe.com/artist/11706","http://qukufile2.qianqian.com/data2/pic/73fad34ad3d7fce50528adb3e0cf45b4/1041188/1041188.jpg","Stop The Clocks: Definitive Collection","2"
"SONY","http://music.taihe.com/album/10420105","2011-09-19","Leonard Bernstein","http://music.taihe.com/artist/10841","http://qukufile2.qianqian.com/data2/music/176DBDA36771C188B4BB40EE4329A5D6/252548477/252548477.jpg","Beethoven: Symphony No. 2 In D Major, Op. 36; Symphony No. 7 In A Major, Op. 92","0"
