"name","date","url","author","author_url","ablum_name","ablum_link"
"浮夸","发行时间：2005-06-01","http://music.taihe.com/song/1000860","陈奕迅","/artist/1077","U-87","/album/689097"
"一首简单的歌","发行时间：2006-12-18","http://music.taihe.com/song/1000907","王力宏","/artist/1107","2006韩剧超强情歌精选No.1","/album/9334512"
"春风","发行时间：2003-10-01","http://music.taihe.com/song/1000922","王筝","/artist/1236","春风","/album/141246"
"蓝天","发行时间：2006-12-18","http://music.taihe.com/song/1000964","黄义达","/artist/9179","2006韩剧超强情歌精选No.1","/album/9334512"
"No Apologies","发行时间：2006-12-04","http://music.taihe.com/song/1001522","Eminem","/artist/83632","Eminem Presents The Re-Up","/album/883572"
"说散就散","发行时间：2013-10-22","http://music.taihe.com/song/100212324","雅萱","/artist/14002442","我们说好的","/album/100212322"
"今晚你寂寞吗（夏日版）","发行时间：2013-11-08","http://music.taihe.com/song/100226357","蜜糖先生","/artist/232881519","大都市","/album/90343922"
"我离开我自己","发行时间：2006-12-01","http://music.taihe.com/song/1002272","杨乃文","/artist/1170","女爵","/album/62822"
"重来","发行时间：2005-06-28","http://music.taihe.com/song/1002626","品冠","/artist/1163","后来的我","/album/69765"
"Cyclone","发行时间：0000-00-00","http://music.taihe.com/song/100264245","Baby Bash","/artist/235338","Cyclone","/album/100264222"
"今天你要嫁给我","发行时间：2006-09-01","http://music.taihe.com/song/1002883","蔡依林,陶喆","/artist/1034","唯舞独尊 演唱会鲜听版&混音","/album/190968"
"西安","发行时间：2011-01-01","http://music.taihe.com/song/100293645","玩具兵团乐队","/artist/87901210","玩具兵团","/album/100293637"
"暖暖","发行时间：2006-10-06","http://music.taihe.com/song/1002961","梁静茹","/artist/1095","亲亲","/album/68457"
"中学时代","发行时间：2001-09-26","http://music.taihe.com/song/1003267","水木年华","/artist/1154","一生有你","/album/183336"
"A Thousand Years","发行时间：2013-01-21","http://music.taihe.com/song/100329764","The Piano Guys","/artist/24467441","The Piano Guys","/album/100329527"
"单人房 双人床","发行时间：2013-10-25","http://music.taihe.com/song/100347013","莫文蔚","/artist/1116","莫后年代 莫文蔚20周年世纪典藏","/album/99893368"
"八月最后一天","发行时间：2001-12-01","http://music.taihe.com/song/1003479","花儿乐队","/artist/1048","草莓声明","/album/186014"
"他不爱我","发行时间：2013-10-25","http://music.taihe.com/song/100349777","莫文蔚","/artist/1116","莫后年代 莫文蔚20周年世纪典藏","/album/99893368"
"Sway","发行时间：2008-04-24","http://music.taihe.com/song/10038498","Peter Cincotti","/artist/10361","Peter Cincotti","/album/10033666"
"在凌晨","发行时间：2004-06-24","http://music.taihe.com/song/1004190","张震岳","/artist/1142","阿岳正传","/album/115522"
