"url","name","area","birthday","xingzuo","hot_fre","cover"
"http://music.taihe.com","None","不详","不详","不详","不详","不详"
"http://music.taihe.com/artist/10012","John Barry","英国","1933-11-03","(天蝎座)","156","http://qukufile2.qianqian.com/data2/pic/1aaa5192a74137e2910c911e38a7fb4f/610223332/610223332.jpg"
"http://music.taihe.com/artist/10025826","关迟","中国","不详","生日：","1","http://qukufile2.qianqian.com/data2/pic/86491843/86491843.jpg"
"http://music.taihe.com/artist/10037132","Olly Murs","英国","1984-05-14","(金牛座)","132","http://qukufile2.qianqian.com/data2/pic/6e36bf2ee06c67fde365e5ed802273e1/569224526/569224526.jpg"
"http://music.taihe.com/artist/10064","Tangerine Dream","德国","不详","生日：","0","http://qukufile2.qianqian.com/data2/music/44C96F0B6528667EFE56D30A1FB7AB62/252156181/252156181.jpg"
"http://music.taihe.com/artist/10076","Take That","英国","不详","不详","69","http://qukufile2.qianqian.com/data2/pic/493771738ceb1ac381890efb796afb6d/539775796/539775796.jpg"
"http://music.taihe.com/artist/10092","Swedish House Mafia","瑞典","不详","不详","2","http://qukufile2.qianqian.com/data2/music/E5C270C9B24A718D0FF42A24812CADF8/252152408/252152408.jpg"
"http://music.taihe.com/artist/10097","Lou Donaldson","美国","不详","生日：","8","http://qukufile2.qianqian.com/data2/music/E02EDC9461E9DA97C2D537413AF0F556/252140471/252140471.jpg"
"http://music.taihe.com/artist/10112","Los del Rio","西班牙","不详","不详","3","http://qukufile2.qianqian.com/data2/music/1AFDB58E7EA04BD0DE8B657924F4AAAE/252144902/252144902.jpg"
"http://music.taihe.com/artist/10128","Lonestar","美国","不详","生日：","1","http://qukufile2.qianqian.com/data2/music/ACA9138B4C6802EA7E9D487CCF6A4612/252141504/252141504.jpg"
"http://music.taihe.com/artist/10141","The Fortunes","英国","不详","不详","13","http://qukufile2.qianqian.com/data2/music/3F65A55BAA0E96533FBBB2D6C9C8A4C9/252421850/252421850.jpg"
"http://music.taihe.com/artist/10146","Wayne Gratz","美国","不详","生日：","0","http://qukufile2.qianqian.com/data2/music/2C754F27DAA4E823358B3D69E1821E25/252875423/252875423.jpg"
"http://music.taihe.com/artist/10157","Michael Nyman","英国","不详","生日：","5","http://qukufile2.qianqian.com/data2/music/4284255242B2FD9E27C6D48C63A44FEC/252415528/252415528.jpg"
"http://music.taihe.com/artist/1025","李宇春","中国","1984-03-10","(双鱼座)","4.00万","http://qukufile2.qianqian.com/data2/pic/246707754/246707754.jpg"
"http://music.taihe.com/artist/102539297","CHEN","韩国","1992-09-21","(处女座)","28","http://qukufile2.qianqian.com/data2/pic/114536906/114536906.jpg"
"http://music.taihe.com/artist/10258","Lisa Ekdahl","瑞典","1971-07-29","1971-07-29","7","http://qukufile2.qianqian.com/data2/music/4615188D7EC4106962C208B9FDBBE15B/252140974/252140974.jpg"
"http://music.taihe.com/artist/1026","张靓颖","中国","1984-10-11","(天秤座)","8616","http://qukufile2.qianqian.com/data2/pic/841fc7594cff7488fd456eda28fd2914/566421351/566421351.jpg"
