"tag","url"
"民族","http://music.taihe.com/songlist/6924"
"华语","http://music.taihe.com/songlist/365296196"
"摇滚","http://music.taihe.com/songlist/365296196"
"放松","http://music.taihe.com/songlist/365296196"
"古风","http://music.taihe.com/songlist/5575"
"榜单","http://music.taihe.com/songlist/5575"
"约会","http://music.taihe.com/songlist/5631"
"古风","http://music.taihe.com/songlist/5631"
"华语","http://music.taihe.com/songlist/518563520"
"流行","http://music.taihe.com/songlist/518563520"
"网络歌曲","http://music.taihe.com/songlist/518563520"
"纯音乐","http://music.taihe.com/songlist/495828312"
"古风","http://music.taihe.com/songlist/495828312"
"治愈","http://music.taihe.com/songlist/516703651"
"华语","http://music.taihe.com/songlist/516703651"
"纯音乐","http://music.taihe.com/songlist/517107676"
"轻音乐","http://music.taihe.com/songlist/517107676"
"安静","http://music.taihe.com/songlist/517107676"
"纯音乐","http://music.taihe.com/songlist/5485"
"古典","http://music.taihe.com/songlist/5485"
"世界音乐","http://music.taihe.com/songlist/5485"
"网络歌曲","http://music.taihe.com/songlist/516513126"
"华语","http://music.taihe.com/songlist/2501"
"流行","http://music.taihe.com/songlist/2501"
"华语","http://music.taihe.com/songlist/365364971"
"流行","http://music.taihe.com/songlist/365364971"
"放松","http://music.taihe.com/songlist/365364971"
"旅行","http://music.taihe.com/songlist/4875"
"放松","http://music.taihe.com/songlist/4875"
"华语","http://music.taihe.com/songlist/517722962"
"流行","http://music.taihe.com/songlist/517722962"
"快乐","http://music.taihe.com/songlist/517722962"
"欧美","http://music.taihe.com/songlist/518064861"
"流行","http://music.taihe.com/songlist/518064861"
"美好","http://music.taihe.com/songlist/518064861"
"华语","http://music.taihe.com/songlist/363960414"
"流行","http://music.taihe.com/songlist/363960414"
"华语","http://music.taihe.com/songlist/4939"
"伤感","http://music.taihe.com/songlist/4939"
"粤语","http://music.taihe.com/songlist/354860506"
"流行","http://music.taihe.com/songlist/354860506"
"感动","http://music.taihe.com/songlist/354860506"
"古典","http://music.taihe.com/songlist/4233"
"运动","http://music.taihe.com/songlist/6518"
"励志","http://music.taihe.com/songlist/6518"
"伤感","http://music.taihe.com/songlist/2867"
"日语","http://music.taihe.com/songlist/2867"
"摇滚","http://music.taihe.com/songlist/365312283"
"流行","http://music.taihe.com/songlist/365312283"
"布鲁斯","http://music.taihe.com/songlist/365312283"
"伤感","http://music.taihe.com/songlist/2001"
"韩语","http://music.taihe.com/songlist/1440"
"伤感","http://music.taihe.com/songlist/4369"
"流行","http://music.taihe.com/songlist/4369"
"流行","http://music.taihe.com/songlist/515141627"
"欧美","http://music.taihe.com/songlist/515141627"
"韩语","http://music.taihe.com/songlist/497264123"
"流行","http://music.taihe.com/songlist/497264123"
"伤感","http://music.taihe.com/songlist/497264123"
"影视原声","http://music.taihe.com/songlist/512591345"
"美好","http://music.taihe.com/songlist/512591345"
"经典","http://music.taihe.com/songlist/512591345"
"约会","http://music.taihe.com/songlist/3982"
"流行","http://music.taihe.com/songlist/3982"
"安静","http://music.taihe.com/songlist/6094"
"轻音乐","http://music.taihe.com/songlist/6094"
"放松","http://music.taihe.com/songlist/6094"
"华语","http://music.taihe.com/songlist/354858251"
"流行","http://music.taihe.com/songlist/354858251"
"治愈","http://music.taihe.com/songlist/354858251"
"RnB/Soul","http://music.taihe.com/songlist/847"
"欧美","http://music.taihe.com/songlist/847"
"经典","http://music.taihe.com/songlist/847"
"校园","http://music.taihe.com/songlist/2910"
"华语","http://music.taihe.com/songlist/2910"
"思念","http://music.taihe.com/songlist/2910"
"欧美","http://music.taihe.com/songlist/738"
"安静","http://music.taihe.com/songlist/738"
"放松","http://music.taihe.com/songlist/738"
"欧美","http://music.taihe.com/songlist/365439899"
"器乐","http://music.taihe.com/songlist/365439899"
"伤感","http://music.taihe.com/songlist/1693"
"悲伤","http://music.taihe.com/songlist/1693"
"韩语","http://music.taihe.com/songlist/354629507"
"流行","http://music.taihe.com/songlist/354629507"
"孤独","http://music.taihe.com/songlist/354629507"
"华语","http://music.taihe.com/songlist/364030751"
"美好","http://music.taihe.com/songlist/364030751"
"校园","http://music.taihe.com/songlist/364030751"
"流行","http://music.taihe.com/songlist/511982563"
"兴奋","http://music.taihe.com/songlist/511982563"
"励志","http://music.taihe.com/songlist/511982563"
"流行","http://music.taihe.com/songlist/354916132"
"网络歌曲","http://music.taihe.com/songlist/354916132"
"兴奋","http://music.taihe.com/songlist/354916132"
"思念","http://music.taihe.com/songlist/546"
"榜单","http://music.taihe.com/songlist/5566"
"华语","http://music.taihe.com/songlist/5566"
"纯音乐","http://music.taihe.com/songlist/354357150"
"伤感","http://music.taihe.com/songlist/3140"
"流行","http://music.taihe.com/songlist/508474791"
"华语","http://music.taihe.com/songlist/508474791"
"欧美","http://music.taihe.com/songlist/508474791"
"粤语","http://music.taihe.com/songlist/364193396"
"流行","http://music.taihe.com/songlist/364193396"
"夜晚","http://music.taihe.com/songlist/364193396"
"儿歌","http://music.taihe.com/songlist/517532126"
"美好","http://music.taihe.com/songlist/517532126"
"流行","http://music.taihe.com/songlist/364522539"
"欧美","http://music.taihe.com/songlist/364522539"
"休息","http://music.taihe.com/songlist/364522539"
"粤语","http://music.taihe.com/songlist/516478230"
"流行","http://music.taihe.com/songlist/516478230"
"伤感","http://music.taihe.com/songlist/516478230"
"轻音乐","http://music.taihe.com/songlist/3973"
"放松","http://music.taihe.com/songlist/3973"
"纯音乐","http://music.taihe.com/songlist/3973"
"欧美","http://music.taihe.com/songlist/365400172"
"电子","http://music.taihe.com/songlist/365400172"
"清新","http://music.taihe.com/songlist/365400172"
"粤语","http://music.taihe.com/songlist/365316315"
"怀旧","http://music.taihe.com/songlist/365316315"
"经典","http://music.taihe.com/songlist/365316315"
"韩语","http://music.taihe.com/songlist/363843418"
"流行","http://music.taihe.com/songlist/363843418"
"美好","http://music.taihe.com/songlist/363843418"
"欧美","http://music.taihe.com/songlist/509616304"
"流行","http://music.taihe.com/songlist/509616304"
"思念","http://music.taihe.com/songlist/509616304"
"欧美","http://music.taihe.com/songlist/365506644"
"励志","http://music.taihe.com/songlist/513907256"
"运动","http://music.taihe.com/songlist/513907256"
"欧美","http://music.taihe.com/songlist/513907256"
"古风","http://music.taihe.com/songlist/5710"
"古典","http://music.taihe.com/songlist/5710"
"孤独","http://music.taihe.com/songlist/5710"
"华语","http://music.taihe.com/songlist/365317654"
"经典","http://music.taihe.com/songlist/365317654"
"怀旧","http://music.taihe.com/songlist/365317654"
"粤语","http://music.taihe.com/songlist/7160"
"工作","http://music.taihe.com/songlist/7160"
"思念","http://music.taihe.com/songlist/7160"
"华语","http://music.taihe.com/songlist/504898172"
"古风","http://music.taihe.com/songlist/504898172"
"思念","http://music.taihe.com/songlist/504898172"
"古风","http://music.taihe.com/songlist/5782"
"华语","http://music.taihe.com/songlist/5782"
"流行","http://music.taihe.com/songlist/5782"
"伤感","http://music.taihe.com/songlist/831"
"寂寞","http://music.taihe.com/songlist/831"
"悲伤","http://music.taihe.com/songlist/831"
"美好","http://music.taihe.com/songlist/4297"
"古风","http://music.taihe.com/songlist/514159605"
"安静","http://music.taihe.com/songlist/514159605"
"休息","http://music.taihe.com/songlist/514159605"
"华语","http://music.taihe.com/songlist/513317683"
"寂寞","http://music.taihe.com/songlist/513317683"
"华语","http://music.taihe.com/songlist/517724471"
"古风","http://music.taihe.com/songlist/517724471"
"寂寞","http://music.taihe.com/songlist/517724471"
"华语","http://music.taihe.com/songlist/365300795"
"流行","http://music.taihe.com/songlist/365300795"
"治愈","http://music.taihe.com/songlist/365300795"
"华语","http://music.taihe.com/songlist/518233655"
"流行","http://music.taihe.com/songlist/518233655"
"安静","http://music.taihe.com/songlist/518233655"
"布鲁斯","http://music.taihe.com/songlist/4604"
"爵士","http://music.taihe.com/songlist/4604"
"古风","http://music.taihe.com/songlist/6132"
"约会","http://music.taihe.com/songlist/6132"
"流行","http://music.taihe.com/songlist/631"
"华语","http://music.taihe.com/songlist/631"
"流行","http://music.taihe.com/songlist/6535"
"古风","http://music.taihe.com/songlist/365400333"
"美好","http://music.taihe.com/songlist/365400333"
"安静","http://music.taihe.com/songlist/365400333"
"欧美","http://music.taihe.com/songlist/517043837"
"流行","http://music.taihe.com/songlist/517043837"
"运动","http://music.taihe.com/songlist/517043837"
"安静","http://music.taihe.com/songlist/365656906"
"夜晚","http://music.taihe.com/songlist/3644"
"流行","http://music.taihe.com/songlist/3644"
"励志","http://music.taihe.com/songlist/6666"
"学习","http://music.taihe.com/songlist/6666"
"华语","http://music.taihe.com/songlist/354506804"
"流行","http://music.taihe.com/songlist/354506804"
"治愈","http://music.taihe.com/songlist/354506804"
"说唱","http://music.taihe.com/songlist/3452"
"欧美","http://music.taihe.com/songlist/3452"
"治愈","http://music.taihe.com/songlist/1426"
"清新","http://music.taihe.com/songlist/1426"
"民族","http://music.taihe.com/songlist/6707"
"摇滚","http://music.taihe.com/songlist/504490856"
"放松","http://music.taihe.com/songlist/504490856"
